Region,SubRegion,Country,City,Airport name,IATA Code
Americas,Central America,Panama,"David, Chiriquí",Enrique Malek International Airport,DAV
Americas,Central America,Panama,Panama City,"Albrook ""Marcos A. Gelabert"" International Airport",PAC
Americas,Central America,Panama,Panama Pacifico International Airport,BLB,
Americas,Central America,Panama,Tocumen International Airport,PTY,
Americas,Central America,Panama,Rio Hato,Scarlett Martínez International Airport,RIH
Americas,South America,Argentina,Buenos Aires,Ministro Pistarini International Airport,EZE
Americas,South America,Argentina,Aeroparque Jorge Newbery,AEP,Medium
Americas,South America,Argentina,Bariloche,San Carlos de Bariloche Airport,BRC
Americas,South America,Argentina,Córdoba,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,COR
Americas,South America,Argentina,Mendoza,Governor Francisco Gabrielli International Airport,MDZ
Americas,South America,Argentina,Puerto Iguazú,Cataratas del Iguazú International Airport,IGR
Americas,South America,Argentina,Resistencia,Resistencia International Airport,RES
Americas,South America,Argentina,Río Gallegos,Piloto Civil Norberto Fernández International Airport,RGL
Americas,South America,Argentina,Ushuaia,Ushuaia – Malvinas Argentinas International Airport,USH
Americas,South America,Bolivia,La Paz,El Alto International Airport,LPB
Americas,South America,Bolivia,Santa Cruz de la Sierra,Viru Viru International Airport,VVI
Americas,South America,Bolivia,Cochabamba,Jorge Wilstermann International Airport,CBB
Americas,South America,Chile,Antofagasta,Andrés Sabella Gálvez International Airport,ANF
Americas,South America,Chile,Concepción,Carriel Sur International Airport,CCP
Americas,South America,Chile,Puerto Montt,El Tepual International Airport,PMC
Americas,South America,Chile,Punta Arenas,Presidente Carlos Ibáñez del Campo International Airport,PUQ
Americas,South America,Chile,Santiago,Arturo Merino Benítez International Airport,SCL
Americas,South America,Ecuador,Cuenca,Mariscal Lamar International Airport,CUE
Americas,South America,Ecuador,Esmeraldas,Carlos Concha Torres International Airport,ESM
Americas,South America,Ecuador,Guayaquil,José Joaquín de Olmedo International Airport,GYE
Americas,South America,Ecuador,Machala,Santa Rosa International Airport,ETR
Americas,South America,Ecuador,Manta,Eloy Alfaro International Airport,MEC
Americas,South America,Ecuador,Quito,Mariscal Sucre International Airport,UIO
Americas,South America,Ecuador,Tulcán,Teniente Coronel Luis a Mantilla International Airport,TUA
Americas,South America,Falkland Islands,Mount Pleasant,RAF Mount Pleasant,MPN
Americas,South America,French Guiana,Cayenne,Cayenne – Félix Eboué Airport,CAY
Americas,South America,Guyana,Georgetown,Cheddi Jagan International Airport,GEO
Americas,South America,Paraguay,Asunción,Silvio Pettirossi International Airport,ASU
Americas,South America,Paraguay,Ciudad del Este,Guaraní International Airport,AGT
Americas,South America,Peru,Arequipa,Rodríguez Ballón International Airport,AQP
Americas,South America,Peru,Cusco,Alejandro Velasco Astete International Airport,CUZ
Americas,South America,Peru,Lima,Jorge Chávez International Airport,LIM
Americas,South America,Suriname,Paramaribo,Johan Adolf Pengel International Airport,PBM
Americas,South America,Uruguay,Montevideo,Carrasco International Airport,MVD
Americas,South America,Uruguay,Punta del Este,Capitán de Corbeta Carlos A. Curbelo International Airport,PDP
Americas,South America,Uruguay,Rivera,Rivera International Airport,RVY
Americas,South America,Venezuela,Caracas,Simón Bolívar International Airport,CCS
Americas,South America,Venezuela,Maracaibo,La Chinita International Airport,MAR
Americas,South America,Venezuela,Valencia,Arturo Michelena International Airport,VLN
Asia,Central Asia,Kazakhstan,Aktau,Aktau Airport,SCO
Asia,Central Asia,Kazakhstan,Aktobe,Aktobe International Airport,AKX
Asia,Central Asia,Kazakhstan,Almaty,Almaty International Airport,ALA
